Name,Cuisines,Cost
Udipi's Upahar,South Indian,500.0
Udipi's Upahar,North Indian,500.0
Udipi's Upahar,Chinese,500.0
Mathura Vilas,South Indian,500.0
Mathura Vilas,North Indian,500.0
Mathura Vilas,Chinese,500.0
Gal Punjab Di,North Indian,800.0
Gal Punjab Di,Continental,800.0
Hitech Bawarchi Food Zone,Biryani,500.0
Hitech Bawarchi Food Zone,North Indian,500.0
Hitech Bawarchi Food Zone,Chinese,500.0
Biryanis And More,North Indian,500.0
Biryanis And More,Biryani,500.0
Biryanis And More,Chinese,500.0
Diners Pavilion,Chinese,1200.0
Diners Pavilion,Continental,1200.0
Diners Pavilion,Italian,1200.0
Asian Meal Box,Asian,200.0
Cafe Eclat,Cafe,700.0
Cafe Eclat,Bakery,700.0
Feast - Sheraton Hyderabad Hotel,Modern Indian,2500.0
Feast - Sheraton Hyderabad Hotel,Asian,2500.0
Feast - Sheraton Hyderabad Hotel,Continental,2500.0
Feast - Sheraton Hyderabad Hotel,Italian,2500.0
Being Hungry,North Indian,450.0
Being Hungry,Chinese,450.0
Tempteys,Desserts,350.0
Tempteys,Beverages,350.0
KS Bakers,Bakery,200.0
KS Bakers,Desserts,200.0
KS Bakers,Fast Food,200.0
PourHouse7,North Indian,1200.0
PourHouse7,Continental,1200.0
PourHouse7,Chinese,1200.0
PourHouse7,Italian,1200.0
Prism Club & Kitchen,Kebab,1200.0
Prism Club & Kitchen,Continental,1200.0
Prism Club & Kitchen,Italian,1200.0
Prism Club & Kitchen,North Indian,1200.0
Shree Santosh Dhaba Family Restaurant,North Indian,500.0
Shree Santosh Dhaba Family Restaurant,Chinese,500.0
Shree Santosh Dhaba Family Restaurant,Fast Food,500.0
Dine O China,Chinese,850.0
Dine O China,Asian,850.0
Dine O China,Momos,850.0
Hyderabad Chefs,North Indian,600.0
Hyderabad Chefs,Chinese,600.0
Komatose - Holiday Inn Express & Suites,North Indian,1500.0
Komatose - Holiday Inn Express & Suites,Chinese,1500.0
Komatose - Holiday Inn Express & Suites,Japanese,1500.0
Komatose - Holiday Inn Express & Suites,Sushi,1500.0
Aromas@11SIX,North Indian,750.0
Aromas@11SIX,Chinese,750.0
Aromas@11SIX,Mughlai,750.0
Aromas@11SIX,Biryani,750.0
Yum Yum Tree - The Arabian Food Court,North Indian,1200.0
Yum Yum Tree - The Arabian Food Court,Hyderabadi,1200.0
The Tilt Bar Republic,North Indian,1500.0
The Tilt Bar Republic,Continental,1500.0
The Tilt Bar Republic,Italian,1500.0
The Indi Grill,BBQ,1500.0
The Indi Grill,Asian,1500.0
The Indi Grill,Modern Indian,1500.0
Urban Asia - Kitchen & Bar,Asian,1100.0
Urban Asia - Kitchen & Bar,Thai,1100.0
Urban Asia - Kitchen & Bar,Chinese,1100.0
Urban Asia - Kitchen & Bar,Sushi,1100.0
Urban Asia - Kitchen & Bar,Momos,1100.0
Eat India Company,North Indian,1300.0
Eat India Company,Mughlai,1300.0
Eat India Company,Beverages,1300.0
Labonel,Bakery,1000.0
Labonel,Desserts,1000.0
Driven Cafe,Cafe,600.0
Driven Cafe,Fast Food,600.0
Driven Cafe,Beverages,600.0
Faasos,Fast Food,600.0
Faasos,Biryani,600.0
Faasos,Desserts,600.0
Royal Spicy Restaurant,North Indian,700.0
Royal Spicy Restaurant,South Indian,700.0
The Old Madras Baking Company,Bakery,350.0
Squeeze @ The Lime,Italian,650.0
Squeeze @ The Lime,North Indian,650.0
Squeeze @ The Lime,Chinese,650.0
Squeeze @ The Lime,Salad,650.0
Khaan Saab,North Indian,1100.0
Khaan Saab,Mughlai,1100.0
Olive Garden,North Indian,700.0
Olive Garden,Chinese,700.0
Olive Garden,Continental,700.0
Olive Garden,Biryani,700.0
Tandoori Food Works,North Indian,500.0
Tandoori Food Works,Burger,500.0
Tandoori Food Works,Kebab,500.0
Delhi-39,North Indian,600.0
Delhi-39,Chinese,600.0
Al Saba Restaurant,North Indian,750.0
Al Saba Restaurant,Chinese,750.0
Al Saba Restaurant,Seafood,750.0
Al Saba Restaurant,Biryani,750.0
Al Saba Restaurant,Hyderabadi,750.0
GD's,Burger,500.0
GD's,American,500.0
T Grill,North Indian,700.0
T Grill,Andhra,700.0
T Grill,Biryani,700.0
T Grill,Chinese,700.0
Momos Delight,Momos,200.0
The Chocolate Room,Cafe,600.0
The Chocolate Room,Desserts,600.0
American Wild Wings,American,600.0
American Wild Wings,Fast Food,600.0
American Wild Wings,Salad,600.0
American Wild Wings,Burger,600.0
Domino's Pizza,Fast Food,400.0
Domino's Pizza,Pizza,400.0
Mohammedia Shawarma,Street Food,150.0
Mohammedia Shawarma,Arabian,150.0
Arena Eleven,Continental,1600.0
Cascade - Radisson Hyderabad Hitec City,North Indian,1800.0
Cascade - Radisson Hyderabad Hitec City,Italian,1800.0
Cascade - Radisson Hyderabad Hitec City,Continental,1800.0
